# seed=20260925 sample=30 of 255 grounded rulings, model=claude-opus-4-6
row,transcript,round,chair,keys_local,keys_escalated,magnitude_local,magnitude_escalated,outcome,intent,your_verdict,notes
18,"2026-09-25T00-23-42-507Z.referee.json",8,warden,"bar/reveal/integrity","bar/reveal/integrity","moderate","moderate",AGREES,"Closely examine the iron bar that closes the widest gap in the window, feeling for fresh scratches and checking rust pitting and mortar setting to determine its current integrity.",,
19,"2026-09-25T00-54-08-570Z.referee.json",8,prisoner,"bar/open/integrity","window/open/passage","slight","slight",DIFFERENT KEYS,"I keep my hands where Croft can see them, then I lean toward the window and use the worn flat side of the spoon to gently work at the rust-pitted bottom of the iron bar where it sits in the cracked mortar.",,
20,"2026-09-25T01-09-42-366Z.referee.json",2,prisoner,"spoon/conceal/concealment","spoon/conceal/concealment","slight","moderate",AGREES,"Slide the dented aluminium spoon under the loose_tile beside the cot and cover it with dry grit so it is no longer out in the open",,
21,"2026-09-25T01-40-02-976Z.referee.json",3,prisoner,"spoon/conceal/concealment","spoon/conceal/concealment","slight","moderate",AGREES,"Slip the dented aluminium spoon into the shallow hollow under the loose tile and cover it with dry grit so it is hidden from view.",,
22,"2026-09-24T23-56-16-322Z.referee.json",6,warden,"loose_tile/reveal/concealment","loose_tile/reveal/concealment","moderate","moderate",AGREES,"Examine the loose_tile closely to establish its current condition and baseline",,
23,"2026-09-25T01-15-38-878Z.referee.json",5,prisoner,"spoon/conceal/concealment","spoon/conceal/concealment","slight","moderate",AGREES,"Slide the dented aluminium spoon under the loose clay tile beside the cot and cover it with the dry grit so it is no longer visible",,
24,"2026-09-25T01-15-38-878Z.referee.json",10,warden,"loose_tile/reveal/concealment","loose_tile/reveal/concealment","slight","slight",AGREES,"Lift the loose clay floor tile beside the cot and inspect the shallow hollow underneath for the spoon.",,
25,"2026-09-25T00-33-51-967Z.referee.json",9,prisoner,"window/open/passage","window/open/passage","moderate","slight",AGREES,"I crouch by the window and work the flat edge of the spoon against the rusted base of the iron bar where it sits in the cracked mortar, keeping my movements low.",,
26,"2026-09-25T00-14-53-769Z.referee.json",4,warden,"bar/reveal/integrity","bar/reveal/integrity","moderate","moderate",AGREES,"Examine the iron bar that closes the widest gap in the cell's small window closely, noting rust, pitting and mortar condition.",,
27,"2026-09-25T00-33-51-967Z.referee.json",7,warden,"bar/reveal/integrity","bar/reveal/integrity","moderate","moderate",AGREES,"Examine the bar closely for wear or integrity loss.",,
28,"2026-09-25T01-40-02-976Z.referee.json",3,warden,"loose_tile/reveal/concealment","loose_tile/reveal/concealment","moderate","moderate",AGREES,"Closely examine the loose_tile to check for disturbance, fresh scrape marks or removed grit beneath it",,
29,"2026-09-25T00-14-53-769Z.referee.json",9,warden,"bar/reveal/integrity","bar/reveal/integrity","moderate","moderate",AGREES,"Examine the iron bar that closes the widest gap in the cell's small window closely, inspecting the rust-pitted bottom where it sits in dry cracked mortar for any fresh wear, loosening, or change in integrity",,
30,"2026-09-25T00-14-53-769Z.referee.json",7,warden,"bar/reveal/integrity","bar/reveal/integrity","moderate","moderate",AGREES,"Examine the iron bar that closes the window closely, inspecting the rust-pitted lower section and the dry cracked mortar it is set into for any change in condition",,
