row,transcript,round,chair,target,effect,property,magnitude,intent,why_refused,proposed_class,proposed_label,your_label,notes
11,O/2026-09-21T22-08-27-040Z.md,6,prisoner,cot,conceal,concealment,moderate,"As I push myself up from the cot to comply with Croft's order, I use the motion of bracing my hand on the iron cot frame to discreetly slip the wire out of my waistband and twist it loosely back around one of the spring attachment points on the underside of the cot frame, where it will look like any of the other wire twists already holding springs in place. Then I walk to the wall, face it, put my hands flat on the stone, and lift the back of my shirt — full compliance, nothing to find.","refused as an attempt to hide the cot, concealment being a property the cot lacks",misruled: wrong key,misruled,misruled,
12,O/2026-09-21T22-32-41-690Z.md,2,prisoner,spoon,reveal,none,slight,"Hand the spoon over to Croft willingly and without hesitation, sitting down on the cot as I do so. While she examines the spoon, I engage her in casual conversation about routines, using the moment to study the brass key on her belt and gauge her patrol patterns. I also subtly test the loose tile with my foot while her attention is on the spoon.","refused as an attempt to look closely at the spoon, which property it meant left unread",unbuilt: custody / search,unbuilt,unbuilt,
13,O/2026-09-21T22-32-41-690Z.md,6,prisoner,wire,derive,integrity,moderate,"While sitting on the cot with the blanket draped over my lap, engage Croft in conversation about the age of the building to hold her attention on my face. At the same time, use my hand under the blanket to quietly slide the wire down along my leg, then ease it through the crack in the loose tile beside the cot and into the hollow beneath, covering it with grit.","refused as an attempt to make something from the wire, its grounds in your words and in the wire's description left unverified",misruled: wrong key,misruled,misruled,
14,O/2026-09-21T22-32-41-690Z.md,7,warden,cot,reveal,integrity,moderate,"Closely examine the cot wire — count the wire twists holding the springs to the frame, check each one for signs of unwinding, removal, reshaping, or recent bending. Compare the condition of the wire to what I'd expect from normal wear.","refused as an attempt to look closely at the cot, its grounds in your words and in the cot's description left unverified",misruled: citation guard,misruled,misruled,
15,O/2026-09-21T22-32-41-690Z.md,9,warden,spoon,reveal,integrity,moderate,"Pick up the spoon and closely examine its edge, rim, and bowl for any signs of sharpening, filing, or deliberate wear — and check the area around where it was resting for metal dust or filings.","refused as an attempt to look closely at the spoon, integrity being a property the spoon lacks",misruled: wrong key,misruled,misruled,
16,O/2026-09-21T22-32-41-690Z.md,10,prisoner,blanket,open,passage,substantial,"Grab the heavy wool blanket off the cot in one motion and fling it wide at Croft's head and upper body to blind and tangle her, then in the same explosive movement charge past her to the cell door and wrench it open — betting everything that the bolt is still retracted from last round since she only pushed the door shut without re-keying the lock — and go through the door.","refused as an attempt to open the blanket, passage being a property the blanket lacks",misruled: compound intent,misruled,misruled,
17,O/2026-09-21T22-57-53-068Z.md,1,prisoner,cot,none,none,slight,"Sit on the cot, pick up the meal tray, and eat from it with the spoon while making casual conversation with Croft. When I set the tray back down, I keep the spoon palmed and slip it under the blanket beside me on the cot.","refused, its effect on the cot left unread",misruled: wrong key,misruled,misruled,
18,O/2026-09-21T22-57-53-068Z.md,4,prisoner,cot,none,none,moderate,"Sit on the cot eating slowly, holding the spoon. Make casual small talk with Croft about the maintenance. When I finish eating, set the spoon down on the blanket beside me — not on the tray — so it stays behind when the tray is collected. Act completely relaxed and cooperative.","refused, its effect on the cot left unread",unbuilt: custody / search,unbuilt,unbuilt,
19,O/2026-09-21T22-57-53-068Z.md,6,warden,spoon,reveal,integrity,moderate,"Pick up the spoon and closely examine its edge, bowl, and handle for any signs of sharpening, new wear, metal filings, or modification since my last check in round 3.","refused as an attempt to look closely at the spoon, integrity being a property the spoon lacks",misruled: wrong key,misruled,misruled,
20,O/2026-09-21T22-57-53-068Z.md,8,prisoner,loose_tile,derive,concealment,moderate,"Sit down on the cot beside the loose tile. While responding genuinely to Croft's comment, use my heel to press on the cracked corner of the tile and my fingers to quietly work the corner piece free, then palm the shard and keep it concealed. The goal is to acquire a hard scraping tool without any visible or audible sign.","refused as an attempt to make something from the loose tile, its grounds in your words and in the loose tile's description left unverified",unclear,unclear,unclear,
21,O/2026-09-21T22-57-53-068Z.md,9,warden,spoon,reveal,edge,moderate,"Pick up the spoon and closely examine its entire edge, the flat-worn side of the bowl, and the handle for any signs of deliberate sharpening, grinding, or filing — checking whether the edge value has changed from 0 since round 3.","refused as an attempt to look closely at the spoon, its grounds in your words and in the spoon's description left unverified",misruled: citation guard,misruled,misruled,
22,O/2026-09-21T22-57-53-068Z.md,10,warden,window,none,none,moderate,"Move to stand directly in front of the window with my back to the bars, positioning myself between Voss and the window, and hold that position for the remainder of my shift until the transfer escort arrives.","refused, its effect on the window left unread",unbuilt: guard / block,unbuilt,unbuilt,
23,O/2026-09-21T23-13-31-489Z.md,2,warden,spoon,reveal,edge,moderate,"Closely examine the spoon, specifically checking the worn flat edge for any new sharpening, scratches, or metal removal that would indicate it's being worked into a tool. I want to pick it up, run my thumb along the edge, and compare it to what I know from the round 0 baseline.","refused as an attempt to look closely at the spoon, its grounds in your words and in the spoon's description left unverified",misruled: citation guard,misruled,misruled,
24,O/2026-09-21T23-13-31-489Z.md,3,prisoner,spoon,conceal,concealment,slight,"Sit on the cot, pull the meal tray onto my lap, and eat from the bowl using the spoon — behaving completely normally. When I'm done, casually set the spoon down tucked into the thick fold of the blanket beside me on the cot, as though I'm just putting it aside after eating. This should raise the spoon's concealment without any suspicious action.","refused as an attempt to hide the spoon, its grounds in your words and in the spoon's description left unverified",misruled: citation guard,misruled,misruled,
25,O/2026-09-21T23-13-31-489Z.md,6,prisoner,spoon,conceal,concealment,moderate,"Sit on the cot beside the loose tile. Engage Croft in conversation about the transfer to hold her attention on my face. While talking, pull the blanket around my shoulders as if cold (she mentioned the draught), and under cover of arranging the blanket and shifting my feet, use my foot to tilt the loose tile and sweep the spoon into the hollow beneath it, then press the tile flat again.","refused as an attempt to hide the spoon, its grounds in your words and in the spoon's description left unverified",misruled: citation guard,misruled,misruled,
26,O/2026-09-21T23-13-31-489Z.md,10,warden,bar,none,none,slight,"I position myself directly in front of the window, blocking it with my body, and closely examine the bar — checking its seating in the mortar, testing its firmness with my hand, and looking for any new damage or loosening since round 8. I also visually check whether the window gap is now passable.","refused, its effect on the bar left unread",unbuilt: guard / block,unbuilt,unbuilt,
27,O/2026-09-21T23-13-31-489Z.md,10,prisoner,key_ring,open,passage,substantial,"Step back toward the cot as Croft ordered, grab the heavy wool blanket off it in one fast motion, then lunge at Croft and throw the blanket over her head and face to blind and smother her vision. While she is disoriented and clawing at the blanket, grab the iron key ring from her belt, rip it free, find the long-shanked brass key, unlock the cell door, open it, and escape through it.","refused as an attempt to open the key ring, passage being a property the key ring lacks",misruled: compound intent,misruled,misruled,
28,O/2026-09-21T23-19-29-089Z.md,2,prisoner,cot,none,none,moderate,"Sit on the cot, eat from the bowl using the spoon as a natural activity, and when finished eating, keep the spoon — tucking it into my waistband or under the blanket rather than returning it to the tray. Engage Croft in conversation throughout to keep her attention on my words, not my hands.","refused, its effect on the cot left unread",decide: no-change acts,unbuilt,unbuilt,
29,O/2026-09-21T23-19-29-089Z.md,3,warden,spoon,reveal,edge,moderate,"Pick up the spoon, hold it up to the corridor light, and closely examine the worn-flat edge and bowl for fresh scraping marks, embedded mortar dust, or iron filings. While doing so, observe Voss's reaction from the corner of my eye.","refused as an attempt to look closely at the spoon, its grounds in your words and in the spoon's description left unverified",misruled: citation guard,misruled,misruled,
30,O/2026-09-21T23-19-29-089Z.md,5,prisoner,blanket,none,none,moderate,"Grab the blanket off the cot in a natural, helpful gesture — bundling the loose wire into its folds — while directing Croft to look at the springs and frame underneath, keeping her focus on the cot's structural condition rather than what was lying on top of it.","refused, its effect on the blanket left unread",misruled: wrong key,misruled,misruled,
31,O/2026-09-21T23-19-29-089Z.md,8,prisoner,wire_2,none,none,moderate,"Pull wire_2 from my waistband and hand it to Croft with visible resignation. While doing so, keep my posture defeated and cooperative to lower her suspicion. Leave the spoon undisturbed on the meal tray — it's just a utensil. Mention the cot is a safety hazard to frame the wires as the cot's problem, not mine, and to prompt her to leave sooner.","refused, its effect on the wire 2 left unread",unbuilt: custody / search,unbuilt,unbuilt,
32,O/2026-09-21T23-19-29-089Z.md,9,warden,lock,reveal,integrity,moderate,"Closely examine the lock bolt through the gap between the door and its frame, looking for fresh scratches, pick marks, scoring, displaced metal, or any sign the bolt has been manipulated or partially withdrawn since it was last checked.","refused as an attempt to look closely at the lock, its grounds in your words and in the lock's description left unverified",misruled: citation guard,misruled,misruled,
33,O/2026-09-21T23-19-29-089Z.md,9,prisoner,meal_tray,leave,passage,substantial,"Pick up the meal tray from the floor at the base of the door — a normal, cooperative act — and stand holding it near the door, positioning myself within arm's reach of the doorway. Appear resigned and compliant about the transfer. The moment Croft unlocks and opens the door to leave after finishing her inspection, drop the tray and shove past her through the open doorway at full force.","refused as an attempt to leave through the meal tray, its grounds in your words and in the meal tray's description left unverified",misruled: compound intent,misruled,misruled,
34,O/2026-09-21T23-25-19-962Z.md,1,prisoner,cot,derive,integrity,moderate,"Sit on the cot with the blanket draped over my lap. While talking to Croft about the transfer, quietly and slowly drag the spoon's worn-flat edge back and forth along the rough iron crossbar of the cot frame, hidden under the blanket, to sharpen the spoon into a better scraping tool.","refused as an attempt to make something from the cot, what it would make left unread",unbuilt: sharpen,unbuilt,unbuilt,
35,O/2026-09-21T23-25-19-962Z.md,3,warden,spoon,reveal,integrity,moderate,"Walk to the meal tray, pick up the spoon, and examine it closely — specifically checking the worn-flat side of the bowl for any fresh scratching, sharpening, or new wear beyond the baseline. Also glance at Voss's cot area and the blanket as I pass it.","refused as an attempt to look closely at the spoon, integrity being a property the spoon lacks",misruled: wrong key,misruled,misruled,
36,O/2026-09-21T23-25-19-962Z.md,4,warden,wire,derive,integrity,slight,"Walk to the cot, pick up the loose wire, examine it briefly in my hand — noting the kink and wear — and pocket it on my belt, confiscating it. As I do this, watch Voss's face and hands for any reaction.","refused as an attempt to make something from the wire, its grounds in your words and in the wire's description left unverified",unbuilt: custody / search,unbuilt,unbuilt,
37,O/2026-09-21T23-25-19-962Z.md,6,warden,prisoner,none,none,moderate,"Confiscate the wire from Voss. Demand she hand it over, and if she doesn't produce it willingly, search her person and her immediate area for it.","refused, its effect on Mara Voss left unread",unbuilt: custody / search,unbuilt,unbuilt,
38,O/2026-09-21T23-25-19-962Z.md,6,prisoner,wire,derive,integrity,slight,"Walk to the cot, pull a small twist of wire from the springs in plain view of Croft, and hand it to her with a show of reluctant compliance. Say it came loose and I was fidgeting with it. Keep the actual working wire hidden under the loose tile. Goal is to satisfy her demand, appear cooperative, and get her to leave so I can start working on the bar.","refused as an attempt to make something from the wire, its grounds in your words and in the wire's description left unverified",unbuilt: custody / search,unbuilt,unbuilt,
39,O/2026-09-21T23-25-19-962Z.md,7,prisoner,wire,derive,integrity,slight,"Step back from the cot and let Croft examine the springs freely. Point to the spring with the missing wire to show I'm cooperating. While standing near the loose tile, shift my weight so my foot nudges it, then glance down and pick up the wire from the gap as though I just noticed where it ended up. Say it must have slipped down there when I set it aside. Hand the wire over to Croft openly. Goal: appear fully cooperative, keep suspicion low, and satisfy her so she leaves the cell.","refused as an attempt to make something from the wire, its grounds in your words and in the wire's description left unverified",unbuilt: custody / search,unbuilt,unbuilt,
40,O/2026-09-21T23-40-03-470Z.md,1,warden,none,reveal,integrity,moderate,"Walk a slow, deliberate circuit of the cell — window, door, cot — pausing at each, observing their condition casually (not a close forensic examination, just eyes and a glance), while tracking where Voss's gaze goes when I'm near each feature. Speak to her to force a reaction.","refused as an attempt to look closely at something, its target left unread",decide: no-change acts,unbuilt,unbuilt,
41,O/2026-09-21T23-40-03-470Z.md,2,warden,meal_tray,none,none,slight,"Collect the meal tray from the slot at the bottom of the door — a routine duty — while asking Voss a pointed question about what habits she's developed in three years. I am picking up the tray and its contents (cup and bowl), not examining any object closely. I watch Voss's demeanor as she answers, but I am not inspecting the cell.","refused, its effect on the meal tray left unread",unbuilt: custody / search,unbuilt,unbuilt,
42,O/2026-09-21T23-40-03-470Z.md,2,prisoner,cot,wear,edge,moderate,"Sit on the cot, pull the blanket over my lap as if cold, and covertly sharpen the spoon by scraping its flat edge along the rough crossbar beneath the blanket, using slow, quiet strokes timed to my speech, while keeping Croft engaged in easy conversation.","refused as an attempt to wear at the cot, edge being a property the cot lacks",unbuilt: sharpen,unbuilt,unbuilt,
43,O/2026-09-21T23-40-03-470Z.md,3,warden,spoon,reveal,integrity,moderate,"Pick up the spoon from wherever it sits, examine it closely — turning it over, running my thumb along the worn-flat edge to feel for fresh sharpening or new wear — then confiscate it, telling Voss it'll be replaced with a new one at next meal per safety rotation.","refused as an attempt to look closely at the spoon, integrity being a property the spoon lacks",misruled: wrong key,misruled,misruled,
44,O/2026-09-21T23-40-03-470Z.md,4,prisoner,none,none,none,slight,"Lean against the wall near the window with arms crossed, looking weary and resigned. Show zero interest in the tile inspection. Make brief, tired conversation to seem cooperative but bored — not nervous, not overly helpful.","refused, both its target and its effect left unread",decide: no-change acts,unbuilt,unbuilt,
45,O/2026-09-21T23-40-03-470Z.md,6,warden,lock,reveal,integrity,moderate,"Examine the lock closely — run my fingers along the bolt edge visible in the door gap, inspect the housing and frame socket for fresh scratch marks, gouges, or metal filings that would indicate someone has been working on it with an improvised tool.","refused as an attempt to look closely at the lock, its grounds in your words and in the lock's description left unverified",misruled: citation guard,misruled,misruled,
46,O/2026-09-21T23-40-03-470Z.md,7,warden,spoon,reveal,edge,moderate,"Pick up the spoon and examine it closely — turn it over in the light, run my thumb along the worn-flat side of the bowl and around the rim, feeling for any edge that has been deliberately sharpened, filed, or scraped to a cutting or prying point beyond normal wear.","refused as an attempt to look closely at the spoon, its grounds in your words and in the spoon's description left unverified",misruled: citation guard,misruled,misruled,
47,O/2026-09-21T23-40-03-470Z.md,7,prisoner,spoon,none,none,slight,"Immediately and casually hand the spoon to Croft without hesitation, presenting it bowl-first as if it's nothing. While she looks at it, complain about the cot springs cutting into my back and ask her to file a maintenance request — reframing the cot damage as a legitimate grievance I'm reporting, not something I caused.","refused, its effect on the spoon left unread",unbuilt: custody / search,unbuilt,unbuilt,
48,O/2026-09-21T23-40-03-470Z.md,8,prisoner,door,reveal,integrity,slight,"Walk to the door as ordered, stand with my back against the wall right beside the door frame. Tuck the spoon out of sight in my waistband under my shirt. While standing there with my hands behind my back or at my sides, subtly feel the door gap and the exposed bolt edge with my fingertips to assess whether the bolt has lateral play and could be pushed or levered back. Appear fully cooperative and bored. When she finds the cot wire damage, act unsurprised — I've been complaining about this.","refused as an attempt to look closely at the door, integrity being a property the door lacks",misruled: wrong key,misruled,misruled,
49,O/2026-09-21T23-52-46-457Z.md,1,prisoner,spoon,none,edge,slight,"Sit on the cot with the blanket over my lap. While answering Croft's question about the transfer, quietly palm the spoon from the meal tray and tuck it under the blanket on my lap. If she's focused on our conversation, subtly scrape the spoon's edge a few times against the rough iron crossbar of the cot frame beneath the blanket to sharpen it — all hidden under the wool.","refused, its effect on the spoon left unread",unbuilt: sharpen,unbuilt,unbuilt,
50,O/2026-09-21T23-52-46-457Z.md,2,warden,lock,reveal,integrity,moderate,"Walk to the cell door and examine the lock closely — inspect the bolt where it shows in the gap, check for scratches, tool marks, or any signs of manipulation on the lock mechanism and surrounding frame. While doing this, engage Voss in conversation about the transfer to keep her talking and read her reactions.","refused as an attempt to look closely at the lock, its grounds in your words and in the lock's description left unverified",misruled: citation guard,misruled,misruled,
51,O/2026-09-21T23-52-46-457Z.md,3,warden,meal_tray,reveal,none,moderate,"Walk to the meal tray by the door slot, crouch down, and inspect it closely — check the tin cup, the bowl, and specifically look for the spoon. Note whether anything is missing or out of place on the tray.","refused as an attempt to look closely at the meal tray, which property it meant left unread",unbuilt: custody / search,unbuilt,unbuilt,
52,O/2026-09-21T23-52-46-457Z.md,4,prisoner,meal_tray,none,none,slight,"As I move to comply with Croft's order, I casually set the spoon down on the meal tray — returning it as though I'd just finished eating — then walk to the far wall and stand with my palms flat against the stone, fully visible and cooperative.","refused, its effect on the meal tray left unread",decide: no-change acts,unbuilt,unbuilt,
53,O/2026-09-21T23-52-46-457Z.md,5,prisoner,bar,none,integrity,slight,"I stand exactly where I am, press my palms flat against the stone wall at shoulder height with fingers spread wide, and hold completely still — not a twitch, not a glance toward the bar or the spoon. Total compliance. I let Croft finish her inspection of the undamaged bar without giving her any reason to look elsewhere.","refused, its effect on the bar left unread",decide: no-change acts,unbuilt,unbuilt,
54,O/2026-09-21T23-52-46-457Z.md,6,warden,prisoner,reveal,concealment,moderate,"Pat down Mara Voss thoroughly — search her clothing, pockets, waistband, sleeves, boots, and hair for the missing spoon or any other concealed tool or contraband.","refused as an attempt to look closely at Mara Voss, concealment being a property Mara Voss lacks",unbuilt: custody / search,unbuilt,unbuilt,
55,O/2026-09-21T23-52-46-457Z.md,6,prisoner,cot,none,none,slight,"I take the spoon out openly and casually set it down on the cot beside me — as if I was just holding it from my meal and clearing my hands — then immediately extend both arms straight out to my sides, palms up, feet apart, fully cooperative for the search. No sudden movements, no resistance, no glancing at the bar or the window.","refused, its effect on the cot left unread",decide: no-change acts,unbuilt,unbuilt,
56,O/2026-09-21T23-52-46-457Z.md,7,prisoner,spoon,none,none,slight,"Answer Croft's question casually and without defensiveness: say I was finishing my meal and must have set the spoon down by the cot when she came in. Stay still with arms out, fully cooperative, and let Croft look at or collect the spoon herself. Do not touch anything. Do not glance at the bar, tile, or window.","refused, its effect on the spoon left unread",decide: no-change acts,unbuilt,unbuilt,
57,O/2026-09-21T23-52-46-457Z.md,9,prisoner,spoon,none,none,slight,"Comply fully with Croft's order: walk to the cot, sit down with hands resting on my knees in plain view, palming the spoon flat against my inner thigh as I settle onto the cot. Remain still and cooperative while Croft inspects the bar. Do nothing to raise suspicion.","refused, its effect on the spoon left unread",decide: no-change acts,unbuilt,unbuilt,
58,O/2026-09-21T23-52-46-457Z.md,10,warden,none,none,none,moderate,"Stand with my back against the cell door, one hand covering my keys against my far hip, maintaining distance from Voss. Watch her steadily from across the room. Do not approach. Do not give her any opening. Hold this position until the transfer detail arrives.","refused, both its target and its effect left unread",unbuilt: guard / block,unbuilt,unbuilt,
59,O/2026-09-22T00-03-38-018Z.md,2,prisoner,warden,reveal,none,slight,"Sit on the cot, pick up the meal tray, and eat while making casual small talk with Croft. Specifically, I want to ask her something that reveals how long she'll be here and when she leaves — maybe ask if she's pulling a double tonight, or how many cells she still has to check.","refused as an attempt to look closely at Warden Croft, which property it meant left unread",decide: no-change acts,unbuilt,unbuilt,
60,O/2026-09-22T00-03-38-018Z.md,3,warden,spoon,reveal,edge,moderate,"Pick up the spoon and examine its edge closely for any signs of sharpening or fresh scraping, then step to the loose tile beside the cot, lift it, and inspect the hollow beneath for hidden items or signs of recent disturbance.","refused as an attempt to look closely at the spoon, its grounds in your words and in the spoon's description left unverified",misruled: citation guard,misruled,misruled,
61,O/2026-09-22T00-03-38-018Z.md,3,prisoner,cot,none,none,slight,"Sit on the cot and eat the meal from the tray using the spoon. After finishing, set the tray down and ask Croft for a moment of privacy to use the bucket — a normal, routine request that might get her to step outside the cell or at least turn away.","refused, its effect on the cot left unread",decide: no-change acts,unbuilt,unbuilt,
62,O/2026-09-22T00-03-38-018Z.md,5,warden,lock,reveal,integrity,moderate,"Closely examine the lock on the cell door — test the bolt's seating, check for pick marks or scoring around the keyhole, and verify it's at full integrity. While doing so, visually sweep the cell to locate the spoon.","refused as an attempt to look closely at the lock, its grounds in your words and in the lock's description left unverified",misruled: citation guard,misruled,misruled,
63,O/2026-09-22T00-03-38-018Z.md,5,prisoner,cot,none,none,moderate,"Sit on the cot cooperatively while Croft does her checks. Engage her in warm, genuine small talk — ask about her day, mention the meal was decent, maybe ask if she's been working here long. Build rapport and human connection. Position myself away from the window and the loose tile so I look completely non-threatening. If an opportunity arises naturally to mention a smell from the corridor or something that might draw her attention toward the door, take it gently without forcing it.","refused, its effect on the cot left unread",decide: no-change acts,unbuilt,unbuilt,
64,O/2026-09-22T00-03-38-018Z.md,9,prisoner,blanket,wear,integrity,substantial,"While Croft's attention is fixed on examining the window, grab the heavy wool blanket off the cot and throw it over her head, then immediately shove her down and wrap the blanket around her head and arms to blind and tangle her. Then retrieve the spoon from under the loose tile and attack the bar's cracked mortar base as hard and fast as I can.","refused as an attempt to wear at the blanket, its grounds in your words and in the blanket's description left unverified",misruled: compound intent,misruled,misruled,
65,O/2026-09-22T00-03-38-018Z.md,10,warden,spoon,reveal,edge,moderate,"Pick up the spoon, hold it in the light from the window while standing between Voss and the window, and closely examine the spoon's edge for any signs it has been scraped against iron — metal dust, filing marks, a sharpened or worn edge inconsistent with normal use.","refused as an attempt to look closely at the spoon, its grounds in your words and in the spoon's description left unverified",misruled: citation guard,misruled,misruled,
